#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
GRIA1	GRIA2	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	GRIA3	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	DLG1	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	CACNG2	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	CAMK2A	0	0	0	0	0	0	0	0	0	0	0.999
GRIA1	GRIA4	0	0	0	0	0	0	0	0	0	0	0.997
GRIA1	EPB41L1	0	0	0	0	0	0	0	0	0	0	0.997
GRIA1	CACNG8	0	0	0	0	0	0	0	0	0	0	0.996
GRIA1	CNIH2	0	0	0	0	0	0	0	0	0	0	0.995
GRIA1	DLG4	0	0	0	0	0	0	0	0	0	0	0.994
