#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
PTEN	TP53	0	0	0	0	0	0	0	0	0	0	0.999
PTEN	MAGI2	0	0	0	0	0	0	0	0	0	0	0.998
PTEN	PIK3R1	0	0	0	0	0	0	0	0	0	0	0.997
PTEN	DLG1	0	0	0	0	0	0	0	0	0	0	0.996
PTEN	PTK2	0	0	0	0	0	0	0	0	0	0	0.995
PTEN	PIK3CA	0	0	0	0	0	0	0	0	0	0	0.995
PTEN	MAST2	0	0	0	0	0	0	0	0	0	0	0.993
PTEN	PREX2	0	0	0	0	0	0	0	0	0	0	0.99
PTEN	SPOP	0	0	0	0	0	0	0	0	0	0	0.99
PTEN	AKT1	0	0	0	0	0	0	0	0	0	0	0.988
