#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
CNTNAP2	NRXN2	9606.ENSP00000354778	9606.ENSP00000265459	0	0	0	0.573	0.084	0	0	0.461	0.485
CNTNAP2	SHANK1	9606.ENSP00000354778	9606.ENSP00000293441	0	0	0	0	0.111	0.091	0	0.491	0.553
CNTNAP2	SHANK2	9606.ENSP00000354778	9606.ENSP00000345193	0	0	0	0	0.084	0.072	0	0.812	0.826
CNTNAP2	NLGN3	9606.ENSP00000354778	9606.ENSP00000351591	0	0	0	0	0.114	0.059	0	0.904	0.913
CNTNAP2	DLG3	9606.ENSP00000354778	9606.ENSP00000363480	0	0	0	0	0.058	0.066	0	0.461	0.484
CNTNAP2	NRXN1	9606.ENSP00000354778	9606.ENSP00000385142	0	0	0	0.584	0.178	0	0	0.466	0.543
CNTNAP2	NRXN3	9606.ENSP00000354778	9606.ENSP00000489551	0	0	0	0.584	0.140	0	0	0.545	0.592
CNTNAP2	DLG4	9606.ENSP00000354778	9606.ENSP00000497806	0	0	0	0	0	0.247	0	0.583	0.673
CNTNAP2	SHANK3	9606.ENSP00000354778	9606.ENSP00000489407	0	0	0	0	0.046	0.091	0	0.776	0.789
DLG3	NRXN2	9606.ENSP00000363480	9606.ENSP00000265459	0	0	0	0	0	0.101	0.500	0.414	0.713
DLG3	SHANK1	9606.ENSP00000363480	9606.ENSP00000293441	0	0	0	0	0.080	0.114	0.500	0.520	0.778
DLG3	SHANK2	9606.ENSP00000363480	9606.ENSP00000345193	0	0	0	0	0.088	0.066	0.500	0.470	0.744
DLG3	NLGN3	9606.ENSP00000363480	9606.ENSP00000351591	0	0	0	0	0.091	0.282	0.500	0.689	0.885
DLG3	NRXN3	9606.ENSP00000363480	9606.ENSP00000489551	0	0	0	0	0.043	0.101	0.500	0.165	0.593
DLG3	NRXN1	9606.ENSP00000363480	9606.ENSP00000385142	0	0	0	0	0.044	0.101	0.500	0.420	0.717
DLG3	SHANK3	9606.ENSP00000363480	9606.ENSP00000489407	0	0	0	0	0.080	0.114	0.500	0.479	0.759
DLG3	DLG4	9606.ENSP00000363480	9606.ENSP00000497806	0	0	0.057	0.965	0	0.547	0.900	0.955	0.997
DLG4	NRXN2	9606.ENSP00000497806	9606.ENSP00000265459	0	0	0	0	0.156	0.113	0.500	0.971	0.987
DLG4	SHANK1	9606.ENSP00000497806	9606.ENSP00000293441	0	0	0	0	0.197	0.356	0.500	0.974	0.992
DLG4	SHANK2	9606.ENSP00000497806	9606.ENSP00000345193	0	0	0	0	0.056	0.522	0.500	0.973	0.993
DLG4	NLGN3	9606.ENSP00000497806	9606.ENSP00000351591	0	0	0	0	0.150	0.282	0.500	0.988	0.995
DLG4	NRXN1	9606.ENSP00000497806	9606.ENSP00000385142	0	0	0	0	0.084	0.113	0.500	0.980	0.991
DLG4	SHANK3	9606.ENSP00000497806	9606.ENSP00000489407	0	0	0	0	0.087	0.114	0.500	0.993	0.996
DLG4	NRXN3	9606.ENSP00000497806	9606.ENSP00000489551	0	0	0	0	0.072	0.113	0.500	0.696	0.858
NLGN3	NRXN2	9606.ENSP00000351591	9606.ENSP00000265459	0	0	0	0	0.178	0.294	0.900	0.998	0.999
NLGN3	SHANK1	9606.ENSP00000351591	9606.ENSP00000293441	0	0	0	0	0.151	0.071	0.500	0.786	0.904
NLGN3	SHANK2	9606.ENSP00000351591	9606.ENSP00000345193	0	0	0	0	0	0.053	0.500	0.920	0.958
NLGN3	PTPRD	9606.ENSP00000351591	9606.ENSP00000370593	0	0	0	0	0.085	0.810	0	0.482	0.902
NLGN3	NRXN3	9606.ENSP00000351591	9606.ENSP00000489551	0	0	0	0	0.109	0.478	0.500	0.775	0.940
NLGN3	SHANK3	9606.ENSP00000351591	9606.ENSP00000489407	0	0	0	0	0.055	0.071	0.500	0.987	0.993
NLGN3	NRXN1	9606.ENSP00000351591	9606.ENSP00000385142	0	0	0	0	0.139	0.478	0.900	0.999	0.999
NRXN1	NRXN2	9606.ENSP00000385142	9606.ENSP00000265459	0	0	0.055	0.969	0.194	0	0.900	0.101	0.922
NRXN1	SHANK1	9606.ENSP00000385142	9606.ENSP00000293441	0	0	0	0	0.151	0.052	0.500	0.753	0.887
NRXN1	SHANK2	9606.ENSP00000385142	9606.ENSP00000345193	0	0	0	0	0.093	0	0.500	0.826	0.914
NRXN1	PTPRD	9606.ENSP00000385142	9606.ENSP00000370593	0	0	0	0	0.178	0.067	0	0.419	0.516
NRXN1	NRXN3	9606.ENSP00000385142	9606.ENSP00000489551	0	0	0.055	0.969	0.177	0	0.500	0.438	0.752
NRXN1	SHANK3	9606.ENSP00000385142	9606.ENSP00000489407	0	0	0	0	0.055	0.052	0.500	0.924	0.961
NRXN2	PTPRD	9606.ENSP00000265459	9606.ENSP00000370593	0	0	0	0	0.153	0.067	0	0.350	0.442
NRXN2	NRXN3	9606.ENSP00000265459	9606.ENSP00000489551	0	0	0.054	0.968	0.135	0	0.500	0.103	0.585
NRXN2	SHANK1	9606.ENSP00000265459	9606.ENSP00000293441	0	0	0	0	0.204	0.052	0.500	0.711	0.876
NRXN2	SHANK2	9606.ENSP00000265459	9606.ENSP00000345193	0	0	0	0	0.076	0	0.500	0.761	0.880
NRXN2	SHANK3	9606.ENSP00000265459	9606.ENSP00000489407	0	0	0	0	0.073	0.052	0.500	0.794	0.897
NRXN3	SHANK1	9606.ENSP00000489551	9606.ENSP00000293441	0	0	0	0	0.142	0.052	0.500	0.341	0.696
NRXN3	SHANK2	9606.ENSP00000489551	9606.ENSP00000345193	0	0	0	0	0.083	0	0.500	0.448	0.725
NRXN3	PTPRD	9606.ENSP00000489551	9606.ENSP00000370593	0	0	0	0	0.123	0.067	0	0.355	0.427
NRXN3	SHANK3	9606.ENSP00000489551	9606.ENSP00000489407	0	0	0	0	0.057	0.052	0.500	0.414	0.703
SHANK1	SHANK2	9606.ENSP00000293441	9606.ENSP00000345193	0	0	0	0.763	0	0.097	0.900	0.680	0.968
SHANK1	SHANK3	9606.ENSP00000293441	9606.ENSP00000489407	0	0	0.090	0.853	0.042	0.462	0.900	0.677	0.982
SHANK2	SHANK3	9606.ENSP00000345193	9606.ENSP00000489407	0	0	0	0.796	0.049	0.107	0.900	0.800	0.980
